,cabbage,redish,carrot,garlic,onion,pepper,yymmdd,date,temperature,rainfall,humidity,total_sun
0,9400,12200,33000,157500,16125.0,47000,2021-08-23,08/23,22.4,44.5,93.0,0.0
1,8400,12000,33000,157500,16125.0,41700,2021-08-24,08/24,24.0,38.3,92.0,0.6
2,13000,14400,33000,157500,15825.0,45000,2021-08-25,08/25,23.7,21.9,93.0,0.8
3,10600,12000,33000,157500,15825.0,41700,2021-08-26,08/26,24.9,0.4,84.0,5.3
4,9200,10200,33000,157500,15825.0,46700,2021-08-27,08/27,22.6,14.8,91.0,1.8
5,10000,11200,33000,157500,15825.0,43700,2021-08-30,08/30,23.5,0.4,84.0,3.5
6,9800,11400,33000,157500,15825.0,43000,2021-08-31,08/31,22.9,14.5,87.0,2.1
7,10800,12000,33000,157500,15825.0,43700,2021-09-01,09/01,22.3,38.5,91.0,0.5
8,13600,12000,33000,157500,15825.0,45000,2021-09-02,09/02,21.7,1.8,84.0,2.5
9,12400,12000,33000,157500,15825.0,46200,2021-09-03,09/03,21.7,1.1,80.0,6.1
10,12000,10200,31600,157500,15825.0,44500,2021-09-06,09/06,20.9,9.7,82.0,1.5
11,13000,11400,31600,157500,15825.0,47000,2021-09-07,09/07,21.0,11.4,92.0,0.4
12,13000,12400,31000,157500,15825.0,45500,2021-09-08,09/08,21.9,0.6,82.0,6.4
13,12600,11400,31000,157500,16125.0,54000,2021-09-09,09/09,21.8,0.0,83.0,7.4
14,12600,8800,31000,157500,16125.0,50700,2021-09-10,09/10,21.8,0.5,86.0,4.3
15,14800,9600,34300,157500,16125.0,52000,2021-09-13,09/13,22.6,0.2,75.0,4.8
16,15400,10000,38000,157500,16125.0,59000,2021-09-14,09/14,21.6,3.0,76.0,4.6
17,14600,10200,38000,157500,16125.0,62000,2021-09-15,09/15,22.1,0.1,66.0,8.6
18,14200,10600,38000,157500,16125.0,64500,2021-09-16,09/16,21.2,0.9,74.0,5.5
19,13600,10400,38300,157500,16125.0,75000,2021-09-17,09/17,20.4,15.7,84.0,2.8
20,13600,10400,38300,157500,16125.0,75000,2021-09-23,09/23,20.0,0.0,72.0,9.1
21,12800,12400,37300,157500,15375.0,75000,2021-09-24,09/24,19.6,0.6,78.0,7.7
22,10600,10400,37300,157500,15375.0,50000,2021-09-27,09/27,20.5,0.1,75.0,4.5
23,8800,8800,34300,157500,15375.0,44700,2021-09-28,09/28,20.8,0.7,81.0,1.4
24,9800,9400,33600,157500,14325.0,43500,2021-09-29,09/29,21.1,22.6,94.0,0.8
25,10400,9600,33300,157500,13875.0,36200,2021-09-30,09/30,20.7,4.4,84.0,7.9
26,10000,8400,33300,157500,13875.0,38700,2021-10-01,10/01,20.2,1.1,82.0,9.3
27,8800,8800,33300,157500,13875.0,40000,2021-10-05,10/05,22.3,1.5,81.0,7.7
28,8400,11200,33000,157500,14100.0,45200,2021-10-06,10/06,20.4,3.7,86.0,4.7
29,7600,10400,33000,157500,14100.0,44000,2021-10-07,10/07,20.3,1.5,86.0,4.4
30,6200,11000,33000,157500,14100.0,46200,2021-10-08,10/08,20.0,1.7,90.0,1.2
31,5000,8400,33000,157500,14250.0,59700,2021-10-12,10/12,16.4,3.8,85.0,0.7
32,4600,7400,33000,157500,14250.0,62700,2021-10-13,10/13,18.3,0.1,80.0,4.5
33,4200,6600,33000,157500,14250.0,68700,2021-10-14,10/14,19.0,0.0,80.0,8.6
34,5000,7600,33000,157500,14250.0,70000,2021-10-15,10/15,18.1,6.3,85.0,2.3
35,5000,7600,33000,157500,14250.0,70000,2021-10-18,10/18,8.9,0.3,65.0,9.1
36,7000,12400,33000,157500,14250.0,68700,2021-10-19,10/19,10.7,2.5,74.0,6.0
37,6600,14400,31000,157500,14250.0,65700,2021-10-20,10/20,8.9,0.0,73.0,7.9
38,5400,11200,30000,157500,14625.0,69500,2021-10-21,10/21,9.4,0.3,77.0,6.7
39,7400,11600,28600,157500,14625.0,67500,2021-10-22,10/22,9.8,0.4,70.0,8.5
40,7600,10400,26000,157500,14625.0,62000,2021-10-25,10/25,10.7,0.0,73.0,9.4
41,7600,10400,26000,157500,14625.0,62000,2021-10-26,10/26,11.3,0.0,73.0,9.1
42,7000,11400,26000,157500,14625.0,75700,2021-10-27,10/27,12.7,0.2,69.0,8.7
43,7000,13000,26000,157500,15750.0,86200,2021-10-28,10/28,11.5,0.0,66.0,9.4
44,7000,13000,26000,157500,15750.0,97500,2021-10-29,10/29,12.3,0.0,69.0,7.9
45,7600,11000,26000,157500,15750.0,94500,2021-11-01,11/01,12.6,0.0,75.0,7.5
46,8000,10000,26000,157500,15750.0,89200,2021-11-02,11/02,10.9,0.3,75.0,7.0
47,9000,11600,26000,157500,15750.0,85700,2021-11-03,11/03,11.0,0.1,74.0,8.2
